,Years,Coal_prod,Oil_prod,Gas_prod,Renewable_en_prod,Total_en_prod,Total_en_consumption
67,2027,530781.3786515371,530781.3786515371,530781.3786515371,530781.3786515371,530781.3786515371,530781.3786515371
68,2028,537427.1252760119,537427.1252760119,537427.1252760119,537427.1252760119,537427.1252760119,537427.1252760119
69,2029,546084.0771883497,546084.0771883497,546084.0771883497,546084.0771883497,546084.0771883497,546084.0771883497
70,2030,543274.1924361436,543274.1924361436,543274.1924361436,543274.1924361436,543274.1924361436,543274.1924361436
71,2031,535862.3655091358,535862.3655091358,535862.3655091358,535862.3655091358,535862.3655091358,535862.3655091358
72,2032,534747.71866895,534747.71866895,534747.71866895,534747.71866895,534747.71866895,534747.71866895
73,2033,525340.4562986047,525340.4562986047,525340.4562986047,525340.4562986047,525340.4562986047,525340.4562986047
74,2034,545279.9781133557,545279.9781133557,545279.9781133557,545279.9781133557,545279.9781133557,545279.9781133557
75,2035,557064.6158565939,557064.6158565939,557064.6158565939,557064.6158565939,557064.6158565939,557064.6158565939
76,2036,553878.0477896744,553878.0477896744,553878.0477896744,553878.0477896744,553878.0477896744,553878.0477896744
77,2037,565398.0210879683,565398.0210879683,565398.0210879683,565398.0210879683,565398.0210879683,565398.0210879683
78,2038,561198.6785615189,561198.6785615189,561198.6785615189,561198.6785615189,561198.6785615189,561198.6785615189
79,2039,549462.6135693775,549462.6135693775,549462.6135693775,549462.6135693775,549462.6135693775,549462.6135693775
80,2040,541244.4056260489,541244.4056260489,541244.4056260489,541244.4056260489,541244.4056260489,541244.4056260489
