,tx_oil
0,7018730.305750609
1,6655831.854486705
2,6424037.639589549
3,5949086.742121221
4,5347447.047329188
5,5146787.394887447
6,5147723.508173466
7,5042682.173522949
8,4913041.478028536
9,4787743.9712228775
10,4528183.945172071
11,4451391.71371901
12,4497000.692260504
13,4460674.156519413
14,4549549.945595503
15,4506964.330249071
16,4431868.7255939245
17,4196506.12852478
18,3958907.854188323
19,3695910.910197139
20,3337342.6111450195
21,3151842.8107591867
22,3060713.438893199
