Years,prodValues,prodType,totalComp,totalProd,subType,state
1984,5122409,Oil Production,8946242,11822952,Actual,Texas
1985,5041464,Oil Production,9011817,11748188,Actual,Texas
1986,4753651,Oil Production,9007599,11381901,Actual,Texas
1987,4413580,Oil Production,9240071,10842369,Actual,Texas
1988,4265871,Oil Production,9811771,10860430,Actual,Texas
1989,3991380,Oil Production,10093725,10536806,Actual,Texas
1990,3935172,Oil Production,10272320,10578173,Actual,Texas
1991,3959173,Oil Production,10278273,10605768,Actual,Texas
1992,3773613,Oil Production,10445158,10460686,Actual,Texas
1993,3590722,Oil Production,10554352,10248337,Actual,Texas
1994,3426263,Oil Production,10879574,10325858,Actual,Texas
1995,3245947,Oil Production,11070854,10230734,Actual,Texas
1996,3151384,Oil Production,11832246,10245577,Actual,Texas
1997,3112187,Oil Production,12237335,10197964,Actual,Texas
1998,2927040,Oil Production,12418135,10122789,Actual,Texas
1999,2605551,Oil Production,12077034,9523222,Actual,Texas
2000,2571703,Oil Production,12420851,9681342,Actual,Texas
2001,2460923,Oil Production,12200928,9506522,Actual,Texas
2002,2353501,Oil Production,12508396,9272256,Actual,Texas
2003,2323851,Oil Production,12295541,9284751,Actual,Texas
2004,2277741,Oil Production,12333678,9157192,Actual,Texas
2005,2277086,Oil Production,11858030,9383076,Actual,Texas
2006,2276390,Oil Production,11864993,9701985,Actual,Texas
2007,2269314,Oil Production,11774259,10296092,Actual,Texas
2008,2354440,Oil Production,11251973,11305593,Actual,Texas
2009,2315986,Oil Production,10883320,11072953,Actual,Texas
2010,2474970,Oil Production,11681851,11387664,Actual,Texas
2011,3071054,Oil Production,11885388,12546132,Actual,Texas
2012,4201648,Oil Production,11944734,14159990,Actual,Texas
2013,5379019,Oil Production,12723430,15645926,Actual,Texas
2014,6715919,Oil Production,12733681,17599803,Actual,Texas
2015,7186120,Oil Production,12886742,18029185,Actual,Texas
2016,6655905,Oil Production,13089570,16962933,Actual,Texas
2017,7282947,Oil Production,13365864,17573176,Actual,Texas
2018,7018730.306,Oil Production,12833600.18,18170167.33,Prediction,Texas
2019,6655831.854,Oil Production,12852128.71,18029690.54,Prediction,Texas
2020,6424037.64,Oil Production,12729009.55,18057921.7,Prediction,Texas
2021,5949086.742,Oil Production,12798825.72,17907936.34,Prediction,Texas
2022,5347447.047,Oil Production,12669489.85,17647836.46,Prediction,Texas
2023,5146787.395,Oil Production,12460054.14,17326647.16,Prediction,Texas
2024,5147723.508,Oil Production,12258208.22,16799567.03,Prediction,Texas
2025,5042682.174,Oil Production,12162773.03,16359032.8,Prediction,Texas
2026,4913041.478,Oil Production,11943806.87,16217620.54,Prediction,Texas
2027,4787743.971,Oil Production,11702106.01,16006734.55,Prediction,Texas
2028,4528183.945,Oil Production,11662489.51,15765621.66,Prediction,Texas
2029,4451391.714,Oil Production,11752740.19,15635588.91,Prediction,Texas
2030,4497000.692,Oil Production,11608482.92,15277264.32,Prediction,Texas
2031,4460674.157,Oil Production,11707857.57,15051815.37,Prediction,Texas
2032,4549549.946,Oil Production,11844610.93,14839112.91,Prediction,Texas
2033,4506964.33,Oil Production,11892254.11,14443896.28,Prediction,Texas
2034,4431868.726,Oil Production,11951870.36,14270154.57,Prediction,Texas
2035,4196506.129,Oil Production,12270022.86,14475529.29,Prediction,Texas
2036,3958907.854,Oil Production,12360605.34,14693895.32,Prediction,Texas
2037,3695910.91,Oil Production,12414414.56,14738656.62,Prediction,Texas
2038,3337342.611,Oil Production,12609561,14591703.46,Prediction,Texas
