Years,prodValues,prodType,totalComp,totalProd,subType,state
1998,1645037,Oil Production,7831111,3191189,Actual,California
1999,1583499,Oil Production,7852568,3103332,Actual,California
2000,1572566,Oil Production,7921270,3067344,Actual,California
2001,1511845,Oil Production,7955161,2875661,Actual,California
2002,1495808,Oil Production,8008105,2925697,Actual,California
2003,1438939,Oil Production,7892261,2903093,Actual,California
2004,1392800,Oil Production,8260248,2762618,Actual,California
2005,1335334,Oil Production,8166058,2808170,Actual,California
2006,1293487,Oil Production,8289269,2800649,Actual,California
2007,1267404,Oil Production,8260040,2618152,Actual,California
2008,1244291,Oil Production,8075576,2519558,Actual,California
2009,1202120,Oil Production,7774309,2491556,Actual,California
2010,1162146,Oil Production,7760676,2534927,Actual,California
2011,1137798,Oil Production,7768794,2639011,Actual,California
2012,1143824,Oil Production,7549440,2319603,Actual,California
2013,1153782,Oil Production,7638003,2370609,Actual,California
2014,1187254,Oil Production,7584837,2383135,Actual,California
2015,1150741,Oil Production,7672710,2350026,Actual,California
2016,1064744,Oil Production,7819232,2423649,Actual,California
2017,996414,Oil Production,7881348,2535788,Actual,California
2018,1086916.412,Oil Production,7770731.694,2380814.947,Predicted,California
2019,1096104.597,Oil Production,7732100.754,2339708.597,Predicted,California
2020,1082305.679,Oil Production,7696234.297,2292572.015,Predicted,California
2021,1074583.879,Oil Production,7665910.94,2321092.47,Predicted,California
2022,1088978.725,Oil Production,7705070.605,2304996.629,Predicted,California
2023,1071167.95,Oil Production,7708754.082,2314855.465,Predicted,California
2024,1072524.255,Oil Production,7714757.257,2323984.717,Predicted,California
2025,1052554.788,Oil Production,7720130.461,2271944.839,Predicted,California
2026,1054237.167,Oil Production,7704354.101,2302350.059,Predicted,California
2027,1055597.399,Oil Production,7670336.305,2286677.72,Predicted,California
2028,1047932.81,Oil Production,7664864.452,2302376.324,Predicted,California
2029,1070235.423,Oil Production,7639362.499,2311954.841,Predicted,California
2030,1067617.8,Oil Production,7614937.033,2312921.268,Predicted,California
2031,1047201.855,Oil Production,7637474.32,2341000.155,Predicted,California
2032,1029879.128,Oil Production,7672677.924,2287695.305,Predicted,California
2033,1043687.06,Oil Production,7702755.523,2295211.594,Predicted,California
2034,1038069.013,Oil Production,7730107.58,2341472.471,Predicted,California
2035,1047501.206,Oil Production,7745928.65,2300641.602,Predicted,California
